"TimeCreated","Id","LevelDisplayName","Message"
"04-07-2024 03:31:51","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T23:31:51Z. Reason: RulesEngine."
"04-07-2024 03:01:25","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 23:04:03","0",,
"03-07-2024 22:14:03","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T18:14:03Z. Reason: RulesEngine."
"03-07-2024 22:13:32","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 22:04:14","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"03-07-2024 22:03:23","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"03-07-2024 21:34:36","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T17:33:36Z. Reason: RulesEngine."
"03-07-2024 21:34:05","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 21:31:11","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T17:31:11Z. Reason: RulesEngine."
"03-07-2024 21:30:41","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 20:58:57","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T16:58:57Z. Reason: RulesEngine."
"03-07-2024 20:58:27","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 20:37:44","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T16:37:44Z. Reason: RulesEngine."
"03-07-2024 20:37:13","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 20:18:32","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T16:18:32Z. Reason: RulesEngine."
"03-07-2024 20:18:02","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 19:52:30","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T15:52:30Z. Reason: RulesEngine."
"03-07-2024 19:52:00","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 19:09:02","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T15:09:02Z. Reason: RulesEngine."
"03-07-2024 19:08:31","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 18:47:23","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T14:47:23Z. Reason: RulesEngine."
"03-07-2024 18:46:52","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 18:31:19","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T14:31:19Z. Reason: RulesEngine."
"03-07-2024 18:30:49","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 18:01:53","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T14:01:53Z. Reason: RulesEngine."
"03-07-2024 18:01:23","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 17:37:59","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T13:37:59Z. Reason: RulesEngine."
"03-07-2024 17:37:28","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 17:02:17","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T13:02:17Z. Reason: RulesEngine."
"03-07-2024 17:01:47","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 16:36:12","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-09T12:36:11Z. Reason: RulesEngine."
"03-07-2024 16:35:41","16394","Information","Offline downlevel migration succeeded."
"03-07-2024 16:02:12","8224","Information","The VSS service is shutting down due to idle timeout. "
"03-07-2024 16:02:03","10001","Information","Ending session 1 started ?2024?-?07?-?03T11:59:56.455843100Z."
"03-07-2024 16:01:16","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"03-07-2024 16:00:40","1001","Information","Fault bucket 2223312684605907296, type 5
Event Name: StoreAgentInstallFailure1
Response: Not available
Cab Id: 0

Problem signature:
P1: Update;ScanForUpdatesForUser
P2: 80073d02
P3: 22621
P4: 3737
P5: Windows.Desktop
P6: V
P7: 
P8: 
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.192a045f-7301-4c09-bd36-45e553ab4437.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;ScanForUp_d9b2a0cfa0ce8286d6b874e799412d17cf85369_00000000_ab97977d-be3f-4fe7-beb2-a5623fe389c9

Analysis symbol: 
Rechecking for solution: 0
Report Id: ab97977d-be3f-4fe7-beb2-a5623fe389c9
Report Status: 268435456
Hashed bucket: 7b3166e49fc908d71edacb1b668e2160
Cab Guid: 0"
